transaction_id,student_id,transaction_date,transaction_type,amount,payment_method,fee_type,academic_year,receipt_number,processed_by,status
T-2022-00169,STU-100161,05/03/2022,Payment,6500,EFT,Accommodation,2022,R00169,FIN-001,Processed
T-2022-00170,100162,2022-03-05,Payment,R 14300,Cash,Tuition,2022,R00170,FIN-002,Processed
T-2022-00171,STU100163,06/03/2022,Payment,17500.00,Debit Card,Tuition,2022,R00171,FIN-003,Processed
T-2022-00172,100164,2022-03-06,Payment,8900.00,Credit Card,Tuition,2022,R00172,FIN-002,Processed
T-2022-00173,STU-100165,07/03/2022,Payment,14800,EFT,Tuition,2022,R00173,FIN-001,Processed
T-2022-00174,100166,2022-03-07,NSFAS,13200,Bursary,Tuition,2022,R00174,FIN-004,Processed
T-2022-00175,STU-100167,10/03/2022,Payment,15400.50,EFT,Tuition,2022,R00175,FIN-001,Processed
T-2022-00176,100168,2022-03-10,Payment,14300.00,Credit Card,Tuition,2022,R00176,FIN-002,Processed
T-2022-00177,STU100169,15/03/2022,Payment,"17800,00",Debit Card,Tuition,2022,R00177,FIN-003,Processed
T-2022-00178,100170,2022-03-15,Payment,14500.00,Cash,Tuition,2022,R00178,FIN-002,Processed
T-2022-00179,STU-100140,20/03/2022,Late Fee,R 500,EFT,Administration,2022,R00179,FIN-001,Processed
T-2022-00180,100150,2022-03-20,Payment,6000,Credit Card,Accommodation,2022,R00180,FIN-002,Processed
T-2022-00181,STU-100160,25/03/2022,Payment,5500,EFT,Residence,2022,R00181,FIN-003,Pending
T-2022-00182,100126,2022-03-25,Refund,-1500.00,EFT,Registration,2022,R00182,FIN-003,Processed
