student_id,course_code,academic_year,semester,assessment_type,mark,grade,status,submission_date,examiner,moderator
STU-100152,ECON1004,2022,1,Assignment,83.25,A-,Pass,2022-04-08,STAFF-1023,STAFF-1024
100153,CS2001,2022,2,Exam,77.75,B+,Pass,2022-11-15,STAFF-3012,STAFF-3013
STU100154,LAW2001,2022,1,Essay,65.00,C,Pass,2022-04-18,STAFF-4567,STAFF-4568
100155,BIO2001,2022,1,Practical,72.25,B,Pass,2022-05-22,STAFF-2089,
STU-100156,MAT1001,2022,1,Exam,44.00,F,Fail,2022-06-12,STAFF-9012,STAFF-9013
100157,AFR2001,2022,2,Oral,69.50,C+,Pass,2022-11-02,STAFF-3045,STAFF-3046
STU-100158,CHE1001,2022,1,Assignment,51.75,D,Pass,2022-04-25,STAFF-6080,
100159,MED2003,2022,1,Exam,76.00,B+,Pass,2022-06-20,STAFF-7023,STAFF-7024
STU-100160,SOC2001,2022,2,Essay,84.25,A-,Pass,2022-10-15,STAFF-8045,STAFF-8046
100161,ACC1001,2022,1,Exam,61.50,C,Pass,2022-06-22,STAFF-2046,STAFF-2047
STU100162,PHY1001,2022,1,Practical,56.75,D,Pass,2022-05-18,STAFF-6078,STAFF-6079
100163,CS3002,2022,1,Project,79.00,B+,Pass,2022-04-30,STAFF-3012,
STU-100164,ZUL1001,2022,1,Assignment,93.50,A+,Distinction,2022-04-05,STAFF-3046,STAFF-3047
100165,GEO1001,2022,1,Exam,68.25,C+,Pass,2022-06-14,STAFF-6090,STAFF-6091
STU-100166,BIO1002,2022,2,Assignment,-5,ERROR,ERROR,2022-09-10,STAFF-2089,
100167,MAT2001,2022,2,Exam,75.25,B+,Pass,2022-11-10,STAFF-9012,STAFF-9013
STU100168,PSY1001,2022,1,Test,82.00,A-,Pass,2022-03-25,STAFF-5023,
100169,LAW1001,2022,1,Exam,59.75,D,Pass,2022-06-15,STAFF-4567,STAFF-4568
STU-100170,ECO1005,2022,2,Assignment,88.25,A,Pass,2022-10-05,STAFF-1023,STAFF-1024
