course_code,course_name,department,faculty,credits,semester,lecturer_id,prerequisites,course_description,nqf_level,enrollment_cap,course_fee
MED1001,Introduction to Medical Sciences,Medical Sciences,Health Sciences,24,1,STAFF-7023,,Foundations of human health and disease,5,120,22000
SOC2001,South African Society,Sociology,Humanities,18,2,STAFF-8045,SOC1001,Analysis of post-apartheid social structures,6,100,13200
ACC1001,Financial Accounting I,Accounting,Commerce,24,1,STAFF-2046,,Financial statement preparation and analysis,5,180,15600
PHY1001,Introduction to Physics,Physics,Science,24,1,STAFF-6078,,Classical mechanics and basic physics concepts,5,120,16200
ENG3001,Control Systems,Engineering,Engineering,24,2,STAFF-9020,ENG2002,Feedback systems and stability analysis,7,60,16800
ZUL1001,Introduction to isiZulu,Languages,Humanities,12,1,STAFF-3046,,Introductory isiZulu language and culture,5,50,8900
GEO1001,Introduction to Geography,Geography,Science,18,1,STAFF-6090,,Physical and human geography fundamentals,5,120,14800
CS4001,Artificial Intelligence,Computer Science,Science,24,2,STAFF-3012,CS3002,Machine learning and AI applications,8,40,17500
HIS1001,South African History,History,Humanities,18,1,STAFF-4024,,Pre-colonial to post-apartheid South Africa,5,150,13200
BCOM-HON,Business Research Methods,Commerce,Commerce,30,1,STAFF-2045,,Research methodology for commerce students,8,30,18500
LAW3001,Administrative Law,Law,Law,24,2,STAFF-4567,LAW2001,Government administrative actions and judicial review,7,80,17800
MUS1001,Music Theory,Music,Humanities,18,1,STAFF-3047,,Fundamentals of music notation and harmony,5,40,14300
BIO3001,Genetics,Biological Sciences,Science,24,1,STAFF-2089,BIO2001,Mendelian and molecular genetics principles,7,60,15900
DRA1001,Introduction to Drama,Drama,Humanities,18,1,STAFF-4025,,Performance theory and theatrical production,5,60,14300
STAT3030,Advanced Statistical Methods,Statistics,Science,24,2,STAFF-1078,STAT2030,Multivariate statistical analysis techniques,7,50,16200
ENG4001,Engineering Design Project,Engineering,Engineering,48,0,STAFF-9020,ENG3001,Capstone engineering project,8,40,32000
PHI1001,Introduction to Philosophy,Philosophy,Humanities,18,1,STAFF-4026,,Critical thinking and major philosophical concepts,5,120,13200
ACC2001,Management Accounting,Accounting,Commerce,24,2,STAFF-2046,ACC1001,Cost accounting and managerial decision-making,6,150,15600
POL1001,Introduction to Political Science,Political Science,Humanities,18,1,STAFF-8046,,Political theories and governance systems,5,180,13200
